Rank,NodeID,Score,Status
1,414,0.0553619,Seed
2,107,0.0551519,Seed
3,348,0.05513,Seed
4,686,0.0550067,Seed
5,0,0.0550067,Seed
6,853,0.00871368,Suspicious
7,563,0.00610861,Suspicious
8,1911,0.00587362,Suspicious
9,1902,0.0056571,Suspicious
10,1882,0.00540998,Suspicious
11,681,0.00540475,Suspicious
12,332,0.00513153,Suspicious
13,570,0.00463578,Suspicious
14,1888,0.00435673,Suspicious
15,1910,0.00403264,Suspicious
16,683,0.00402845,Suspicious
17,848,0.00371735,Suspicious
18,685,0.00369791,Suspicious
19,651,0.00365075,Suspicious
20,680,0.00364423,Suspicious
21,682,0.00356618,Suspicious
22,856,0.00353262,Suspicious
23,1907,0.00351484,Suspicious
24,1844,0.00336663,Suspicious
25,557,0.00334812,Suspicious
26,561,0.00326208,Suspicious
27,675,0.00321848,Suspicious
28,684,0.00312139,Suspicious
29,840,0.00301671,Suspicious
30,842,0.00299716,Suspicious
31,828,0.0029472,Suspicious
32,671,0.00289539,Suspicious
33,329,0.0028297,Suspicious
34,849,0.00275908,Suspicious
35,1894,0.0027427,Suspicious
36,322,0.00267524,Suspicious
37,559,0.00264806,Suspicious
38,566,0.002612,Suspicious
39,1897,0.00261072,Suspicious
40,833,0.00259713,Suspicious
41,342,0.00258315,Suspicious
42,339,0.00257938,Suspicious
43,567,0.00246636,Suspicious
44,834,0.0024635,Suspicious
45,1898,0.0023367,Suspicious
46,670,0.00231165,Suspicious
47,669,0.00228628,Suspicious
48,678,0.00224797,Suspicious
49,830,0.00224668,Suspicious
50,827,0.00224276,Suspicious
51,346,0.00223871,Suspicious
52,553,0.00221044,Suspicious
53,889,0.00219573,Suspicious
54,604,0.00216448,Suspicious
55,343,0.00214855,Suspicious
56,555,0.0021362,Suspicious
57,839,0.00212148,Suspicious
58,847,0.0021156,Suspicious
59,645,0.00210702,Suspicious
60,829,0.00206749,Suspicious
61,556,0.00203894,Suspicious
62,1906,0.00200533,Suspicious
63,666,0.00198591,Suspicious
64,554,0.00195548,Suspicious
65,1891,0.00186003,Suspicious
66,544,0.00185025,Suspicious
67,591,0.00182752,Suspicious
68,323,0.00178316,Suspicious
69,637,0.00176544,Suspicious
70,315,0.00176273,Suspicious
71,606,0.00173456,Suspicious
72,1893,0.00172436,Suspicious
73,1878,0.00171767,Suspicious
74,580,0.00167698,Suspicious
75,838,0.00166084,Suspicious
76,1879,0.00163122,Suspicious
77,572,0.00162481,Suspicious
78,850,0.00162092,Suspicious
79,340,0.00158372,Suspicious
80,822,0.00156093,Suspicious
81,542,0.00155913,Suspicious
82,654,0.00155632,Suspicious
83,665,0.00154926,Suspicious
84,564,0.00153237,Suspicious
85,341,0.00153032,Suspicious
86,676,0.00151189,Suspicious
87,532,0.00150834,Suspicious
88,565,0.00147285,Suspicious
89,1903,0.00146285,Suspicious
90,324,0.00145266,Suspicious
91,560,0.00144815,Suspicious
92,824,0.00142186,Suspicious
93,646,0.00141243,Suspicious
94,347,0.00141225,Suspicious
95,662,0.00140481,Suspicious
96,548,0.0014037,Suspicious
97,545,0.00138097,Suspicious
98,513,0.00136742,Suspicious
99,823,0.00135614,Suspicious
